dataset,subject,n_trials,n_channels,n_bands,FBCNet,fbcnet_seconds,fbcnet_params,FBCSP,FBCSP_seconds,FBCSP-L2,FBCSP-L2_seconds,AWFBCSP-published,AWFBCSP-published_seconds,AWFBCSP-reg,AWFBCSP-reg_seconds
Dreyer2023,24,240,27,5,0.9125,234.53812670707703,7362,0.9458333333333334,4.0861146450042725,0.9333333333333333,4.702745199203491,0.9458333333333334,5.042027711868286,0.9375,4.725697040557861
Dreyer2023,25,240,27,5,0.9291666666666668,201.87045812606812,7362,0.8958333333333333,4.082719564437866,0.8833333333333332,4.654240608215332,0.9,5.009530544281006,0.8791666666666667,4.646914482116699
Dreyer2023,26,240,27,5,0.7791666666666666,140.3268597126007,7362,0.7791666666666667,4.0671446323394775,0.7666666666666667,4.640523672103882,0.7666666666666668,5.0003273487091064,0.7458333333333333,4.647368907928467
Dreyer2023,27,240,27,5,0.5125,59.919543504714966,7362,0.5125,4.067483186721802,0.4875000000000001,4.645135879516602,0.5041666666666667,4.998414516448975,0.4958333333333334,4.634802579879761
Dreyer2023,28,240,27,5,0.5083333333333333,59.12107062339783,7362,0.5833333333333333,4.070943832397461,0.5625,4.739317893981934,0.5750000000000001,5.064947605133057,0.5708333333333333,4.700968503952026
Dreyer2023,29,240,27,5,0.6333333333333334,106.02489686012268,7362,0.6583333333333333,4.0806005001068115,0.6208333333333333,4.736824989318848,0.6625,5.01521110534668,0.6458333333333333,4.69663667678833
Dreyer2023,30,240,27,5,0.5791666666666667,92.48819351196289,7362,0.6833333333333333,4.061408758163452,0.6583333333333333,4.684680700302124,0.6833333333333333,5.0066657066345215,0.6208333333333333,4.687915802001953
Dreyer2023,31,240,27,5,0.5916666666666667,112.12748169898987,7362,0.6375,4.080796003341675,0.6375,4.687064170837402,0.6375,5.0078771114349365,0.6708333333333334,4.691493034362793
Dreyer2023,32,240,27,5,0.6375,84.66607308387756,7362,0.7124999999999999,4.063570499420166,0.6791666666666667,4.701946973800659,0.7083333333333333,5.016524076461792,0.6958333333333334,4.686034202575684
Dreyer2023,33,240,27,5,0.7583333333333333,176.16403150558472,7362,0.8541666666666667,4.066088438034058,0.8541666666666667,4.689229249954224,0.8541666666666666,5.004451274871826,0.825,4.686645984649658
Dreyer2023,34,240,27,5,0.5666666666666667,65.08022427558899,7362,0.7208333333333333,4.10344934463501,0.65,4.6847662925720215,0.7208333333333334,4.993203639984131,0.5833333333333333,4.6886022090911865
Dreyer2023,35,240,27,5,0.9333333333333333,199.3931393623352,7362,0.9291666666666666,4.0571911334991455,0.9083333333333334,4.63615083694458,0.925,4.994222640991211,0.9125,4.654094696044922
